Amount of Ice ,Amount of Boiling water,Temperature from thermom,Temp from sensor ,,,Note
100,0,-3,-0.06,,,A lot of -127  as an error value
100,0,-3,-0.06,,,We do have a janky set up right now 
100,0,-3,-0.06,,,
75,25,31,22.75,,,
75,25,31,32.44,,,
75,25,31,34,,,
75,25,31,34.06,,,
50,50,48,48.75,,,
50,50,48,49.06,,,
50,50,48,49.19,,,
25,75,69,59.31,,,
25,75,69,62.56,,,
25,75,69,63.69,,,
0,100,91,87.94,,,
0,100,91,89.06,,,
0,100,91,89.06,,,
